File Name,CC Value
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9898 2.png,93.75237845909969
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9898 4.png,93.75237845909969
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9899 2.png,90.35153461461746
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9899 4.png,90.35153461461746
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9900 2.png,91.69070550673973
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9900 4.png,91.69070550673973
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9901 2.png,88.53978030255311
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9901 4.png,88.53978030255311
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9902 2.png,86.26006006183337
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9902 4.png,86.26006006183337
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9903 2.png,85.90111777735785
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9903 4.png,85.90111777735785
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9904 2.png,91.40003320000841
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9904 4.png,91.40003320000841
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9905 2.png,87.6339154488956
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9906 2.png,93.01134902263375
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9905 4.png,87.6339154488956
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9906 4.png,93.01134902263375
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9907 2.png,97.0230631797472
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9907 4.png,97.0230631797472
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9908 2.png,90.99722064751826
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9908 4.png,90.99722064751826
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9909 2.png,91.03781848387503
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9909 4.png,91.03781848387503
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9910 2.png,79.54074907354918
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9910 4.png,79.54074907354918
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9911 2.png,81.19915838634837
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9911 4.png,81.19915838634837
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9912 4.png,88.88382851211473
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9912 2.png,88.88382851211473
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9913 2.png,90.8862368249769
./vignoles_output\Cluster-Closure-7-31-23\ER4\IMG_9913 4.png,90.8862368249769
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0090 2.png,96.33077575165869
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0091 2.png,88.21010946816999
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0091.png,88.21010946816999
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0092 2.png,91.0811884553204
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0092.png,91.0811884553204
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0090.png,96.33077575165869
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0093 2.png,92.88330590723945
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0093.png,92.88330590723945
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0094 2.png,89.94221000514403
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0094.png,89.94221000514403
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0095 2.png,88.50927041341228
./vignoles_output\Cluster-Closure-8-3-23\CR1\IMG_0095.png,88.50927041341228
